"id","x","y","Categories","Year","Area (m2)","Population","Female","Male","Population Density","Household (person)","Per Capita Income","Housing Unit Prices For Sale","Housing Unit Prices For Rent","Commercial Property Unit Prices For Sale","Commercial Property Unit Prices For Rent","nearest2009_1","nearest2009_2","nearest2009_3","nearest2009_4","nearest2009_5","nearest2013_1","nearest2013_2","nearest2013_3","nearest2013_4","nearest2013_5","nearest2020_1","nearest2020_2","nearest2020_3","nearest2020_4","nearest2020_5","x_coord","y_coord"
37,"405,797.43","4,546,116.83",1,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,12,9,10,12,16,12,9,10,12,18,12,9,10,12,18,"41.044471","28.879599"
47,"405,828.26","4,546,049.23",1,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,2,25,2,2,26,2,4,2,2,26,2,4,20,3,20,"41.043397","28.879930"
56,"405,848.42","4,545,997.48",1,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,20,10,4,5,20,23,10,23,5,20,23,10,12,5,23,"41.043019","28.880149"
114,"405,993.41","4,545,553.72",1,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,29,19,22,13,12,29,19,22,13,12,29,14,4,3,12,"41.038837","28.882001"
117,"406,006.96","4,545,509.69",1,2009,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,26,3,25,10,3,26,3,25,10,3,26,3,25,10,3,"41.038837","28.882001"
198,"405,917.92","4,545,746.33",1,2009,"441781.8782","32.364","16.019","16.345","0.0733","3.84","5.001","3.618",14,"4.366",24,10,16,10,10,17,10,16,10,10,17,10,3,10,10,20,"41.041149","28.881089"
212,"405,959.62","4,545,604.68",1,2009,"441781.8782","32.364","16.019","16.345","0.0733","3.84","5.001","3.618",14,"4.366",24,3,2,3,23,12,3,2,3,23,2,3,10,3,2,2,"41.039879","28.881606"
239,"406,119.07","4,545,185.80",1,2009,"500835.4132","41.827","20.654","21.173","0.0835","3.76",5,"3.2",13,"5.356",26,21,10,23,10,10,21,10,6,10,10,21,10,6,10,23,"41.036126","28.883566"
249,"406,145.74","4,545,142.22",1,2009,"500835.4132","41.827","20.654","21.173","0.0835","3.76",5,"3.2",13,"5.356",26,28,10,23,23,12,10,10,10,23,12,10,7,23,23,12,"41.035737","28.883889"
278,"406,048.12","4,545,327.38",1,2009,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,26,12,23,27,2,26,12,23,27,2,3,12,23,12,7,"41.037328","28.882537"
288,"406,077.49","4,545,282.40",1,2009,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,10,10,10,4,10,10,10,10,4,10,10,10,10,4,4,"41.036715","28.883022"
303,"406,124.32","4,545,206.46",1,2009,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,21,4,10,29,10,21,4,2,29,10,21,4,2,21,10,"41.036087","28.883596"
330,"406,210.70","4,545,064.64",1,2009,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,20,23,20,7,25,10,23,20,28,25,10,23,21,28,20,"41.035046","28.884674"
342,"406,257.27","4,544,990.69",1,2009,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,29,6,12,10,23,29,6,21,10,23,29,3,21,10,23,"41.034386","28.885239"
37,"405,797.43","4,546,116.83",1,2013,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,12,9,10,12,16,12,9,10,12,18,12,9,10,12,18,"41.044471","28.879599"
47,"405,828.26","4,546,049.23",1,2013,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,2,25,2,2,26,2,4,2,2,26,2,4,20,3,20,"41.043397","28.879930"
56,"405,848.42","4,545,997.48",1,2013,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,20,10,4,5,20,23,10,23,5,20,23,10,12,5,23,"41.043019","28.880149"
66,"405,874.46","4,545,926.68",1,2013,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,25,29,23,12,16,10,29,23,12,20,23,29,16,29,10,"41.042285","28.880536"
114,"405,993.41","4,545,553.72",1,2013,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,29,19,22,13,12,29,19,22,13,12,29,14,4,3,12,"41.038837","28.882001"
117,"406,006.96","4,545,509.69",1,2013,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,26,3,25,10,3,26,3,25,10,3,26,3,25,10,3,"41.038837","28.882001"
198,"405,917.92","4,545,746.33",1,2013,"441781.8782","32.364","16.019","16.345","0.0733","3.84","5.001","3.618",14,"4.366",24,10,16,10,10,17,10,16,10,10,17,10,3,10,10,20,"41.041149","28.881089"
212,"405,959.62","4,545,604.68",1,2013,"441781.8782","32.364","16.019","16.345","0.0733","3.84","5.001","3.618",14,"4.366",24,3,2,3,23,12,3,2,3,23,2,3,10,3,2,2,"41.039879","28.881606"
249,"406,145.74","4,545,142.22",1,2013,"500835.4132","41.827","20.654","21.173","0.0835","3.76",5,"3.2",13,"5.356",26,28,10,23,23,12,10,10,10,23,12,10,7,23,23,12,"41.035737","28.883889"
278,"406,048.12","4,545,327.38",1,2013,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,26,12,23,27,2,26,12,23,27,2,3,12,23,12,7,"41.037328","28.882537"
288,"406,077.49","4,545,282.40",1,2013,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,10,10,10,4,10,10,10,10,4,10,10,10,10,4,4,"41.036715","28.883022"
303,"406,124.32","4,545,206.46",1,2013,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,21,4,10,29,10,21,4,2,29,10,21,4,2,21,10,"41.036087","28.883596"
326,"406,194.70","4,545,094.54",1,2013,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,10,4,30,18,10,10,4,28,10,10,10,10,1,25,10,"41.035045","28.884475"
330,"406,210.70","4,545,064.64",1,2013,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,20,23,20,7,25,10,23,20,28,25,10,23,21,28,20,"41.035046","28.884674"
342,"406,257.27","4,544,990.69",1,2013,"173346.8904","13.279","6.556","6.723","0.0766","3.51","5.193","3.507",14,"4.37",25,29,6,12,10,23,29,6,21,10,23,29,3,21,10,23,"41.034386","28.885239"
37,"405,797.43","4,546,116.83",1,2020,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,12,9,10,12,16,12,9,10,12,18,12,9,10,12,18,"41.044471","28.879599"
47,"405,828.26","4,546,049.23",1,2020,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,2,25,2,2,26,2,4,2,2,26,2,4,20,3,20,"41.043397","28.879930"
56,"405,848.42","4,545,997.48",1,2020,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,20,10,4,5,20,23,10,23,5,20,23,10,12,5,23,"41.043019","28.880149"
66,"405,874.46","4,545,926.68",1,2020,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,25,29,23,12,16,10,29,23,12,20,23,29,16,29,10,"41.042285","28.880536"
98,"405,966.32","4,545,671.20",1,2020,"487415.2707","32.578","15.983","16.595","0.0668","3.89","4.964","3.507",14,"4.182",26,25,10,2,29,23,25,10,2,29,23,25,10,15,29,23,"41.039508","28.881625"
